iter	Passed	Remaining
0	0	98
1	1	92
2	2	90
3	3	86
4	4	90
5	5	88
6	6	87
7	7	86
8	8	85
9	9	84
10	10	81
11	10	79
12	11	78
13	12	76
14	13	76
15	14	74
16	14	72
17	15	71
18	16	70
19	17	69
20	18	68
21	18	67
22	19	66
23	20	65
24	21	64
25	22	63
26	22	62
27	23	61
28	24	60
29	25	58
30	26	58
31	26	57
32	27	56
33	28	55
34	29	54
35	30	53
36	31	53
37	32	52
38	33	51
39	33	50
40	34	49
41	35	48
42	35	47
43	36	46
44	37	45
45	38	44
46	38	43
47	39	43
48	40	42
49	41	41
50	42	40
51	42	39
52	43	38
53	44	37
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	33
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	65	16
80	66	15
81	67	14
82	68	13
83	68	13
84	69	12
85	70	11
86	71	10
87	72	9
88	73	9
89	73	8
90	74	7
91	75	6
92	76	5
93	77	4
94	78	4
95	78	3
96	79	2
97	80	1
98	81	0
99	81	0
