iter	Passed	Remaining
0	146	145856
1	147	73363
2	147	49172
3	148	37076
4	150	29874
5	151	25041
6	152	21572
7	153	19062
8	155	17110
9	156	15499
10	157	14204
11	159	13104
12	160	12176
13	161	11365
14	162	10652
15	163	10045
16	164	9518
17	167	9161
18	171	8852
19	176	8639
20	177	8279
21	178	7942
22	180	7647
23	181	7367
24	182	7110
25	183	6874
26	184	6654
27	185	6445
28	186	6244
29	187	6055
30	188	5877
31	188	5712
32	189	5556
33	190	5410
34	191	5274
35	192	5144
36	193	5033
37	194	4915
38	195	4805
39	196	4709
40	197	4611
41	197	4515
42	198	4423
43	199	4339
44	200	4262
45	201	4182
46	202	4105
47	203	4032
48	204	3962
49	205	3896
50	206	3833
51	206	3771
52	207	3712
53	209	3667
54	210	3615
55	211	3562
56	212	3511
57	213	3462
58	214	3413
59	214	3365
60	215	3319
61	216	3278
62	217	3235
63	218	3193
64	219	3153
65	220	3113
66	220	3075
67	221	3037
68	222	3002
69	223	2970
70	224	2938
71	225	2908
72	226	2877
73	227	2846
74	228	2818
75	229	2791
76	230	2763
77	231	2735
78	232	2708
79	233	2680
80	234	2655
81	234	2630
82	235	2600
83	236	2574
84	237	2553
85	238	2532
86	239	2510
87	240	2489
88	241	2468
89	241	2446
90	242	2426
91	243	2406
92	244	2386
93	245	2365
94	246	2345
95	246	2325
96	247	2306
97	248	2287
98	249	2268
99	250	2253
100	251	2238
101	252	2221
102	253	2208
103	254	2193
104	255	2176
105	256	2160
106	257	2145
107	257	2129
108	258	2114
109	259	2098
110	260	2083
111	260	2068
112	261	2054
113	262	2039
114	263	2025
115	264	2011
116	264	1997
117	265	1983
118	266	1970
119	267	1958
120	267	1946
121	268	1933
122	269	1921
123	270	1909
124	271	1897
125	271	1885
126	272	1873
127	273	1861
128	273	1849
129	274	1838
130	275	1827
131	276	1816
132	276	1805
133	277	1794
134	278	1784
135	279	1774
136	279	1763
137	280	1753
138	281	1743
139	282	1733
140	283	1725
141	283	1714
142	284	1704
143	285	1695
144	285	1686
145	286	1677
146	287	1669
147	288	1660
148	289	1651
149	289	1642
150	290	1634
151	291	1626
152	292	1617
153	292	1609
154	293	1600
155	294	1593
156	295	1585
157	296	1577
158	296	1570
159	297	1563
160	298	1554
161	299	1547
162	299	1539
163	300	1532
164	301	1525
165	302	1517
166	302	1510
167	303	1503
168	304	1497
169	305	1491
170	306	1484
171	307	1477
172	307	1471
173	308	1464
174	309	1458
175	310	1451
176	310	1445
177	311	1438
178	312	1433
179	313	1427
180	314	1421
181	314	1415
182	315	1409
183	316	1403
184	317	1397
185	317	1391
186	318	1386
187	319	1380
188	320	1374
189	321	1368
